Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8
0.2524901,0.0334525,0.0017742787,0.0016468377,0.4389446,0.001738663,0.26655173,0.0016112605,0.0017900065
0.002695767,0.0027656292,0.008331591,0.011765666,0.89752686,0.0025786066,0.06919767,0.0025042263,0.0026339656
0.67276573,0.04492076,0.0016456689,0.001734955,0.04695481,0.0016709289,0.22690356,0.001628415,0.0017752423
0.83668035,0.03038064,0.11670446,0.001769185,0.0017372738,0.0017072434,0.0017836759,0.0073208823,0.0019162932
0.07865695,0.10794711,0.08310621,0.01066887,0.002109757,0.020630132,0.64942926,0.04543728,0.0020144484
0.038961533,0.45829993,0.0030128432,0.0028860543,0.0030718546,0.0029081763,0.0032115255,0.002865796,0.48478225
0.004457746,0.108842775,0.005099267,0.004391765,0.0044597615,0.41248843,0.069622956,0.32202104,0.06861629
0.006813364,0.36243677,0.0065647815,0.0069862353,0.009078001,0.0064580515,0.008312968,0.0064598457,0.58689
0.083553515,0.005866537,0.026132824,0.02650683,0.0056282473,0.83549815,0.0058298274,0.005416051,0.0055679646
0.032941572,0.112946495,0.3922164,0.0011325534,0.0012371964,0.005437478,0.3857161,0.067190066,0.0011820546
0.0070815007,0.2613237,0.0068632104,0.0067799087,0.006949421,0.006755211,0.0075710546,0.0067124367,0.6899636
0.167448,0.0058999113,0.00573285,0.005678112,0.51747406,0.0056273993,0.28057805,0.005589193,0.005972494
0.12824725,0.0061789714,0.07687726,0.006017571,0.0062272036,0.73757386,0.0073228683,0.025658168,0.0058967914
0.2410046,0.18527888,0.00440698,0.004331142,0.004511805,0.2857343,0.0046688,0.26559466,0.0044688634
0.006056186,0.0062177083,0.06316699,0.40605864,0.006066001,0.40180707,0.0062218667,0.0962246,0.008180958
0.007304071,0.6388412,0.006648478,0.006579843,0.0066864523,0.0064190887,0.063073404,0.006419665,0.25802776
0.0030785836,0.05647366,0.0030991854,0.0031506391,0.35357934,0.0029365837,0.5715571,0.0029055316,0.003219423
0.28973043,0.10757314,0.00405727,0.004124457,0.059068225,0.28196937,0.004244289,0.24480215,0.0044305897
0.8972629,0.0023174887,0.0026623148,0.002466683,0.023290867,0.0023060115,0.064997464,0.002208703,0.002487603
0.4818949,0.1929933,0.002554641,0.010911654,0.22507232,0.0025839594,0.07894153,0.002500307,0.002547348
0.1818921,0.14603981,0.0014778264,0.0014739914,0.46619323,0.0014551948,0.19851974,0.0014437644,0.0015043218
0.15240882,0.2228721,0.0044207694,0.0042366246,0.004459283,0.023207199,0.16430734,0.018758874,0.4053291
0.0042709676,0.004527614,0.004129461,0.004125133,0.8964351,0.004177923,0.07381986,0.004160386,0.0043536467
0.0037082804,0.0037606247,0.003919094,0.14299202,0.069617376,0.41187587,0.24192344,0.05116137,0.07104193
0.10375114,0.0047264993,0.18928869,0.0045345193,0.004579923,0.5980594,0.0051619853,0.004628696,0.08526906
0.02029471,0.001747887,0.18135151,0.0016621366,0.0017937556,0.001697893,0.787913,0.0016641343,0.001874889
0.03263184,0.2645246,0.0019378096,0.0019310382,0.059265792,0.0019152418,0.06336495,0.0019074461,0.57252127
0.0026244374,0.5084442,0.022165578,0.0024791628,0.002580095,0.0024392938,0.08730898,0.0024082381,0.36955
0.0063868193,0.8324622,0.006514774,0.0062188413,0.0064034774,0.12248773,0.0064953654,0.0061650677,0.0068657575
0.0036449167,0.43971646,0.0035920916,0.0038133492,0.0485704,0.0035561533,0.0038628057,0.0035060297,0.48973784
0.00565619,0.110454,0.056246795,0.10034488,0.0057027843,0.6202506,0.090023726,0.0054905973,0.0058305156
0.004493287,0.12694927,0.005793665,0.0247116,0.0045460803,0.80186605,0.022302914,0.004458502,0.0048784814
0.018635092,0.0046514114,0.079382904,0.1695473,0.0043981574,0.49268222,0.059884712,0.033324882,0.13749327
0.0017954666,0.45222366,0.0017221039,0.0017282942,0.0017914689,0.001729933,0.22644377,0.012957174,0.29960808
0.5351096,0.43232906,0.0031244634,0.0030348804,0.003063626,0.014318894,0.0030699533,0.0029415074,0.0030080636
0.11389949,0.005722541,0.005631959,0.005482474,0.005407803,0.7528383,0.034909915,0.0053286804,0.070778824
0.28958815,0.0034957116,0.0031440225,0.003091351,0.6497967,0.003178176,0.041387342,0.0030184109,0.00330006
0.002487059,0.2131023,0.0024613494,0.0023669985,0.002728886,0.0024200827,0.051554903,0.0023492395,0.7205292
0.07355498,0.16321005,0.006605989,0.008496458,0.0066422615,0.0065297075,0.007108232,0.006436894,0.7214154
0.0056669866,0.0066152336,0.0055590947,0.005602361,0.0057871332,0.84916174,0.0056875036,0.005621115,0.110298835
0.05016952,0.60394865,0.06746041,0.086949155,0.052413374,0.0024570886,0.13169831,0.0023709894,0.0025324922
0.064514875,0.049107786,0.14837648,0.19212084,0.0040149945,0.37311035,0.1610208,0.0038520931,0.0038816698
0.044214033,0.41384003,0.007941518,0.001465489,0.016666193,0.0014912279,0.061968744,0.0014619331,0.45095086
0.20330212,0.0427274,0.0022206584,0.002233761,0.3927757,0.012331724,0.32435897,0.0022265275,0.017823132
0.0057679503,0.04470359,0.0056644613,0.036225807,0.005774065,0.83155286,0.058610592,0.0057314336,0.0059692278
0.0026384399,0.44604492,0.002626442,0.0025341932,0.0026665705,0.020346006,0.0027524296,0.01084577,0.5095452
0.13098156,0.052526835,0.0061226455,0.018386824,0.34065232,0.0054035117,0.40137294,0.03932858,0.0052248184
0.0031473965,0.30592778,0.0030934177,0.002976203,0.53830856,0.0030829213,0.13749784,0.0029669458,0.0029989388
0.22196865,0.003519802,0.003376019,0.0031136863,0.0033034452,0.19979446,0.08354487,0.4784001,0.0029789722
0.087755464,0.5090867,0.007713146,0.0075714737,0.007967226,0.0076631927,0.11659899,0.007600107,0.24804376
0.0045016143,0.13991165,0.172017,0.08012943,0.09996228,0.49074864,0.0041428525,0.0042063985,0.0043802867
0.05849699,0.12343231,0.004887175,0.049283054,0.0048407596,0.7433701,0.0054097157,0.0050573237,0.005222554
